"TEP_ID","TEP_Area","TEP_NAME","TEP_Village","TEP_Address","TEP_Phone","TEP_God","TEP_Class","TEP_BuildTime","TEP_ReBuildTime","TEP_FestivalDate","twd97X","twd97Y","wgs84aX","wgs84aY"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-01-01 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-02-01 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-07-15 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-10-24 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-10-25 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"2EA16DDE-A6C8-4065-B37E-1F88893879B7","淡水區","淡水坪頂集應廟","坪頂里","新北市淡水區坪頂里小坪頂18之3號","86263277","保儀尊王","道教","民國54","民國56年","2017-10-26 00:00:00.0","298878","2783335","121.484845349824","25.1577198289525"
"C8164AED-E0EB-4E89-8927-1F8DF2D625CE","八里區","道教帝廟金鑾殿","","新北市八里區龍形五街37巷3號之1","26185596","三清道祖","道教","民國76","0","2014-02-15 00:00:00.0","295245.39","2780548.14","121.448720554059","25.1326738080308"
"AF09363A-A166-4849-ADE3-1FEA7C11C6F8","鶯歌區","承天農林禪寺","","新北市鶯歌區中正一路466號","26792442","釋迦牟尼佛","佛教","民國79","0","2015-01-01 00:00:00.0","287544.5","2761289","121.371823765824","24.9590112620246"
"AF09363A-A166-4849-ADE3-1FEA7C11C6F8","鶯歌區","承天農林禪寺","","新北市鶯歌區中正一路466號","26792442","釋迦牟尼佛","佛教","民國79","0","2015-07-01 00:00:00.0","287544.5","2761289","121.371823765824","24.9590112620246"
"243D3140-17A3-410A-8610-20835DF2CFC7","石門區","石門桃源殿","","新北市石門區內阿里磅55號","26381160","中央混元真母靈源天尊","道教","民國76","0","2015-01-07 00:00:00.0","308305.44","2793560.29","121.578793689168","25.2496947113295"
"243D3140-17A3-410A-8610-20835DF2CFC7","石門區","石門桃源殿","","新北市石門區內阿里磅55號","26381160","中央混元真母靈源天尊","道教","民國76","0","2015-06-17 00:00:00.0","308305.44","2793560.29","121.578793689168","25.2496947113295"
"243D3140-17A3-410A-8610-20835DF2CFC7","石門區","石門桃源殿","","新北市石門區內阿里磅55號","26381160","中央混元真母靈源天尊","道教","民國76","0","2015-07-01 00:00:00.0","308305.44","2793560.29","121.578793689168","25.2496947113295"
"243D3140-17A3-410A-8610-20835DF2CFC7","石門區","石門桃源殿","","新北市石門區內阿里磅55號","26381160","中央混元真母靈源天尊","道教","民國76","0","2015-10-15 00:00:00.0","308305.44","2793560.29","121.578793689168","25.2496947113295"
"DBDA91F5-3A38-4458-A14D-20B4F6271BB2","三芝區","水口民主公王宮","","新北市三芝區新庄子59號之3","26364096","民主公王爺","道教","民前151","民國80年","2014-01-15 00:00:00.0","301124.19","2796262.63","121.507609821295","25.2743528185711"
"DBDA91F5-3A38-4458-A14D-20B4F6271BB2","三芝區","水口民主公王宮","","新北市三芝區新庄子59號之3","26364096","民主公王爺","道教","民前151","民國80年","2014-04-08 00:00:00.0","301124.19","2796262.63","121.507609821295","25.2743528185711"
"DBDA91F5-3A38-4458-A14D-20B4F6271BB2","三芝區","水口民主公王宮","","新北市三芝區新庄子59號之3","26364096","民主公王爺","道教","民前151","民國80年","2014-07-10 00:00:00.0","301124.19","2796262.63","121.507609821295","25.2743528185711"
"DBDA91F5-3A38-4458-A14D-20B4F6271BB2","三芝區","水口民主公王宮","","新北市三芝區新庄子59號之3","26364096","民主公王爺","道教","民前151","民國80年","2014-09-30 00:00:00.0","301124.19","2796262.63","121.507609821295","25.2743528185711"
"746CE306-887A-40D5-A9DD-20E0488F604A","三芝區","財團法人新北市智成忠義宮","","新北市三芝區智成街18號","26362218","關聖帝君","道教","民前12","民國15、86年","2015-09-01 00:00:00.0","300711.67","2794323.75","121.503441825191","25.2568631396135"
"8B4A2FB1-0BBF-470D-8E10-213EA8AF3219","新莊區","佛光山擇善寺","","新北市新莊區新莊路543巷11號","22070859","釋迦牟尼佛","佛教","民國43","民國85年","2014-04-08 00:00:00.0","295203.76","2769422.01","121.447942028344","25.0322283730194"
"72177561-BD7D-41BD-B108-21D7E2355600","三重區","三重區天武宮","","新北市三重區永福街211巷7號(暫厝)","22875651","玄天上帝","道教","民國73","0","2015-03-03 00:00:00.0","298382.09","2774084.55","121.479600268992","25.0742234956227"
"72177561-BD7D-41BD-B108-21D7E2355600","三重區","三重區天武宮","","新北市三重區永福街211巷7號(暫厝)","22875651","玄天上帝","道教","民國73","0","2015-09-09 00:00:00.0","298382.09","2774084.55","121.479600268992","25.0742234956227"
"FCB5D590-25B7-4C25-9014-222980B4384B","汐止區","白雲福德宮","","新北市汐止區水源路二段34號對面","26421023","福德正神","道教","民國53","84","2014-07-15 00:00:00.0","316068","2772264.62","121.654821377735","25.0571237230095"
"FCB5D590-25B7-4C25-9014-222980B4384B","汐止區","白雲福德宮","","新北市汐止區水源路二段34號對面","26421023","福德正神","道教","民國53","84","2014-12-10 00:00:00.0","316068","2772264.62","121.654821377735","25.0571237230095"
"035C568D-F6AA-42C3-9157-22D510FCC0E3","新店區","佛所護念廟","","新北市新店區寶興路70巷5號","29131871","釋迦牟尼佛","佛教","民國74","民國88年","2015-01-21 00:00:00.0","305573.3","2762623.71","121.550420987519","24.9705083504092"
"6BA561CA-A956-4823-914E-22EAF270E4B8","三重區","玄峯慈惠堂","","新北市三重區仁愛街77號","29736394","瑤池金母","道教","民國58","民國60年","2015-07-18 00:00:00.0","300046.9","2773958.75","121.49609809816","25.0730335364574"
"655A7D72-2108-48A2-B3FC-239FDCAB84F2","瑞芳區","弘明寺","","新北市瑞芳區岳王路136號","24972690","釋迦牟尼佛","佛教","民國57","民國62年","2014-07-08 00:00:00.0","331679.13","2778485.72","121.80990689558","25.1125211564138"
