name,addr
有德堂大藥局,台北市中山北路六段227號
江南大藥局,台北市文德路22巷9弄56號
百立藥局,台北市和平東路三段228巷66號
百岳藥局,台北市和平東路二段311巷11號
百康藥局,台北市基隆路2段131之20號
百祥藥局,台北市南京東路五段123巷6弄2之4號
百源堂大藥局,台北市長安東路二段47之5號
老上德藥局,台北市信義路六段118號
老永茂大藥局,台北市廣州街64號
至安良藥局,台北市尊賢街266號
至康藥局,台北市內湖路一段737巷19弄1號
艾登安和藥局,台北市安和路1段123號
西松健康人生藥局,台北市南京東路五段291巷7號
西湖藥局,台北市內湖路一段355號
佑安藥局,台北市延吉街233巷9號
佑康大藥局,台北市汀州路二段64號
佑翔藥局,台北市民生東路五段95號
佑華藥局,台北市忠孝東路五段508之4號
吳順安藥局,台北市濟南路三段22號
吳興藥局,台北市吳興街號
吾家藥局,台北市信義路4段265巷6之1號
宏大藥局,台北市社子街63巷9弄2之1號
宏光藥局,台北市成功路二段221號
宏恩藥局,台北市大安路一段181號
宏泰藥師藥局,台北市酒泉街131號
宏越藥局,台北市中華路二段392號
志銘藥局,台北市研究院路一段101巷11號
快安藥局,台北市南京西路282號
李得安藥局,台北市民生東路五段36巷8弄11號
杏仁藥局,台北市大道路135號
杏友藥局,台北市復興南路二段151巷25號
杏安堂藥局,台北市忠孝東路四段77巷30號
杏安藥局,台北市昆陽街140巷16號
杏佳藥局,台北市康寧路一段51號
杏城藥局,台北市天母東路24號
杏康藥局,台北市忠孝東路五段372巷27弄68之2號
杏隆藥局,台北市羅斯福路5段261號
杏嘉藥局,台北市清江路47、49號
秀全藥局,台北市開封街二段66之3號
育恩藥局,台北市中華路二段434之1號
良佑藥局,台北市撫順街6之2號
良美藥局,台北市福德街268巷37號
良興藥局,台北市中和街286號
辰安藥局,台北市大安路一段31巷28號
亞元大藥局,台北市承德路3段39號
亞博藥師藥局,台北市興華路81號
京東藥局,台北市南京東路五段272號
京城藥局,台北市忠順街一段42號
佳禾藥局,台北市大龍街262號
佳和藥局,台北市黎明里公園路30號
佳美藥局,台北市復興南路一段261之3號
佳音健保藥局,台北市南昌路二段201號
佳赫藥局,台北市文昌路44號
佳龍藥局,台北市研究院路2段80號
佳醫景美藥局,台北市羅斯福路六段290號
和平藥局,台北市中華路二段43號
和康大藥局,台北市忠孝東路一段78號
和康健保藥局,台北市文德路66巷41號
和康藥局,台北市木新路三段220號
和樹藥局,台北市後港街45巷1號
和諧藥局,台北市民生東路五段148號
和謙藥局,台北市社中街362號
坤成泰藥局,台北市大南路412號
奇威藥局,台北市泰順街48之1號
妮妮藥局,台北市中央南路一段187號
定好大藥局,台北市農安街125巷34號
定彥藥師藥局,台北市松山路465巷25弄13號
宜昇優良藥局,台北市康寧路三段165巷23弄5號
宜康藥局,台北市保儀路7號
尚賀藥局,台北市民生東路五段89號
幸福藥局,台北市德行東路109巷8號
延平新聖安藥局,台北市延平北路三段35號
延吉大藥局,台北市延吉街153號
延吉達康美得藥局,台北市延吉街32號
延壽盛康藥局,台北市延壽街111號
延壽藥局,台北市延壽街327號
忠孝康承健保藥局,台北市復興南路一段92之1號
忠孝藥局,台北市成福路16號
忠信藥局,台北市東園街28巷63號
怡誠藥局,台北市汀州路二段212號
承恩藥局,台北市林森北路119巷55號
昆陽藥局,台北市林口街230號
昇龍藥局,台北市東湖路151號
昌源藥局,台北市中央北路四段485號
